,distance,perc,amenity
0,0.0343,4.662511850550953e-05,medical_clinic
1,0.052899999999999996,0.000435167772718089,medical_clinic
2,0.0598,0.00045070947888659215,medical_clinic
3,0.0761,0.0007693144553409073,medical_clinic
4,0.0855,0.0012744199058172606,medical_clinic
5,0.0868,0.0016551917069455885,medical_clinic
6,0.0873,0.001911629858725891,medical_clinic
7,0.0906,0.002292401659854219,medical_clinic
8,0.09309999999999999,0.0027508819918250623,medical_clinic
9,0.09540000000000001,0.003209362323795906,medical_clinic
10,0.09809999999999999,0.0035823632718399827,medical_clinic
11,0.1051,0.0041030104284848394,medical_clinic
12,0.11159999999999999,0.004553719907371431,medical_clinic
13,0.1148,0.004825699765320237,medical_clinic
14,0.1165,0.005105450476353294,medical_clinic
15,0.12390000000000001,0.005587243367576893,medical_clinic
16,0.1276,0.005975786021789472,medical_clinic
17,0.1298,0.006317703557496542,medical_clinic
18,0.1399,0.006667391946287863,medical_clinic
19,0.15430000000000002,0.007063705453584695,medical_clinic
20,0.1556,0.007397852136207513,medical_clinic
21,0.178,0.0077863947904200925,medical_clinic
22,0.1804,0.008136083179211414,medical_clinic
23,0.1819,0.008602334364266509,medical_clinic
24,0.18480000000000002,0.009029731283900347,medical_clinic
25,0.18580000000000002,0.009348336260354662,medical_clinic
26,0.1895,0.009799045739241254,medical_clinic
27,0.1901,0.010016629625600298,medical_clinic
28,0.1904,0.010195359246538084,medical_clinic
29,0.19390000000000002,0.010716006403182942,medical_clinic
30,0.19490000000000002,0.01109677820431127,medical_clinic
31,0.19569999999999999,0.011438695740018339,medical_clinic
32,0.1958,0.011780613275725408,medical_clinic
33,0.19619999999999999,0.012153614223769486,medical_clinic
34,0.1972,0.012425594081718292,medical_clinic
35,0.1993,0.01281413673593087,medical_clinic
36,0.2004,0.013676701428282798,medical_clinic
37,0.2092,0.014041931523242622,medical_clinic
38,0.20959999999999998,0.014920037921763052,medical_clinic
39,0.215,0.014927808774847303,medical_clinic
40,0.218,0.015230872045133115,medical_clinic
41,0.2214,0.01568935237710396,medical_clinic
42,0.2236,0.015914707116547255,medical_clinic
43,0.2238,0.01627993721150708,medical_clinic
44,0.2258,0.016738417543477924,medical_clinic
45,0.22590000000000002,0.017049251666847988,medical_clinic
46,0.22619999999999998,0.017437794321060567,medical_clinic
47,0.22769999999999999,0.017919587212284163,medical_clinic
48,0.2301,0.018331442425749498,medical_clinic
49,0.2302,0.018751068492299086,medical_clinic
50,0.2334,0.019147381999595914,medical_clinic
51,0.2352,0.019652487450072267,medical_clinic
52,0.2359,0.020079884369706105,medical_clinic
53,0.2381,0.020856969678131266,medical_clinic
54,0.2414,0.02127659574468085,medical_clinic
55,0.24309999999999998,0.02156411730879816,medical_clinic
56,0.2476,0.021937118256842237,medical_clinic
57,0.2484,0.022574328209750867,medical_clinic
58,0.2491,0.02318045475032249,medical_clinic
59,0.2505,0.023499059726776805,medical_clinic
60,0.2508,0.02376326873164136,medical_clinic
61,0.2611,0.024128498826601185,medical_clinic
62,0.26180000000000003,0.024524812333898017,medical_clinic
63,0.26230000000000003,0.024921125841194845,medical_clinic
64,0.2635,0.025387377026249942,medical_clinic
65,0.2637,0.02586916991747354,medical_clinic
66,0.265,0.026343191955612886,medical_clinic
67,0.2698,0.02679390143449948,medical_clinic
68,0.2708,0.02708919385170104,medical_clinic
69,0.2711,0.027353402856565595,medical_clinic
70,0.2714,0.027749716363862423,medical_clinic
71,0.2734,0.028316988639012792,medical_clinic
72,0.2742,0.028775468970983636,medical_clinic
73,0.2773,0.02928834527454424,medical_clinic
74,0.2793,0.02964580451641981,medical_clinic
75,0.2827,0.030158680819980417,medical_clinic
76,0.2828,0.03046174409026623,medical_clinic
77,0.2847,0.030881370156815816,medical_clinic
78,0.287,0.031238829398691388,medical_clinic
79,0.2871,0.03171285143683074,medical_clinic
80,0.2875,0.032015914707116545,medical_clinic
81,0.288,0.03230343627123385,medical_clinic
82,0.289,0.03266866636619368,medical_clinic
83,0.2899,0.03290956281180548,medical_clinic
84,0.2917,0.033484605940040095,medical_clinic
85,0.2938,0.03382652347574717,medical_clinic
86,0.2948,0.034152899305285735,medical_clinic
87,0.29569999999999996,0.03465023390267784,medical_clinic
88,0.29619999999999996,0.03506985996922742,medical_clinic
89,0.2975,0.03543509006418725,medical_clinic
90,0.29769999999999996,0.0357148407752203,medical_clinic
91,0.29810000000000003,0.036033445751674616,medical_clinic
92,0.2993,0.03653078034906672,medical_clinic
93,0.30010000000000003,0.037035885799543075,medical_clinic
94,0.30219999999999997,0.03743997015992415,medical_clinic
95,0.3039,0.03771195001787296,medical_clinic
96,0.3043,0.03802278414124303,medical_clinic
97,0.30460000000000004,0.03861336897564615,medical_clinic
98,0.3073,0.038877577980510704,medical_clinic
99,0.30789999999999995,0.03916509954462801,medical_clinic
100,0.3088,0.03928166234089178,medical_clinic
101,0.31,0.03976345523211538,medical_clinic
102,0.31010000000000004,0.040167539592496464,medical_clinic
103,0.3107,0.041014562578679886,medical_clinic
104,0.311,0.04145750120448223,medical_clinic
105,0.31110000000000004,0.04185381471177906,medical_clinic
106,0.31139999999999995,0.04244439954618218,medical_clinic
107,0.3128,0.04284848390656326,medical_clinic
108,0.31310000000000004,0.043306964238534106,medical_clinic
109,0.3137,0.04361002750881992,medical_clinic
110,0.314,0.044425967082666336,medical_clinic
111,0.317,0.044853364002300174,medical_clinic
112,0.318,0.04535069859969228,medical_clinic
113,0.31810000000000005,0.04562267845764108,medical_clinic
114,0.3182,0.045972366846432404,medical_clinic
