,id,dest_type,lon,lat
0,0,downtown,172.633386,-43.53296
1,1,fire_station,172.6909776,-43.5126336
2,2,fire_station,172.6960113,-43.3996132
3,3,fire_station,172.6441683742707,-43.526785
4,4,fire_station,172.7305453,-43.6281526
5,5,fire_station,172.6464425,-43.6269266
6,6,fire_station,172.5657746,-43.4888915
7,7,fire_station,172.6542083,-43.3820055
8,8,fire_station,172.2125161,-43.4988985
9,9,fire_station,172.4866046,-43.6390595
10,10,fire_station,172.7187286,-43.6019467
11,11,fire_station,172.594508,-43.3049935
12,12,fire_station,172.6024123,-43.4675686
13,13,fire_station,172.3770423,-43.5922697
14,14,fire_station,172.6198742,-43.5534692
15,15,fire_station,172.7614099,-43.5725232
16,16,fire_station,172.5312794,-43.5601565
17,17,fire_station,172.6759292,-43.3234224
18,18,fire_station,172.6913042,-43.5540299
19,19,hospital,172.6849383875119,-43.48031835
20,20,hospital,172.625237,-43.5342631
21,21,hospital,172.5964978,-43.5512624
22,22,hospital,172.592271,-43.2897332
23,23,hospital,172.6452759,-43.5209353
24,24,hospital,172.61816,-43.5107722
25,25,library,172.6977519259746,-43.51222182842276
26,26,library,172.6452407715151,-43.56294214283696
27,27,library,172.6307793574729,-43.57058611771805
28,28,library,172.7404967332967,-43.62637987989589
29,29,library,172.6363016745559,-43.51465283446788
30,30,library,172.5913263053227,-43.51395175369021
31,31,library,172.6221847949857,-43.52855033839456
32,32,library,172.7085139609221,-43.58092989316835
33,33,library,172.602267804044,-43.55937917915151
34,34,library,172.5226435052953,-43.54471317011872
35,35,library,172.6754025835693,-43.53243578009525
36,36,library,172.7206943254778,-43.60266563281455
37,37,library,172.6419531392509,-43.50085581611916
38,38,library,172.7588933492775,-43.56913989498129
39,39,library,172.7314042307432,-43.5071040300794
40,40,library,172.6667621271796,-43.55520550105323
41,41,library,172.6660876390484,-43.55378970256934
42,42,library,172.6071530195935,-43.49419869994174
43,43,library,172.7071599234294,-43.48185157500346
44,44,library,172.7392225878598,-43.5618610515434
45,45,library,172.6165014374585,-43.4774484291556
46,46,library,172.6017598846343,-43.53104460563817
47,47,library,172.6631247727667,-43.50513224452907
48,48,library,172.5723361081817,-43.53210506344539
49,49,library,172.6375327379488,-43.56148841380802
50,50,library,172.6182814368744,-43.55642403784748
51,51,library,172.6537069853825,-43.55732387725512
52,52,library,172.568821376477,-43.58139540984836
53,53,library,172.6372020417654,-43.5301317653772
54,54,library,172.5630852974157,-43.53500258405514
55,55,library,172.5736219241328,-43.53149323037425
56,56,library,172.682851705847,-43.54922369738326
57,57,library,172.5857295387014,-43.48988866835411
58,58,medical_clinic,172.630358938822,-43.5207025572485
59,59,medical_clinic,172.5258579186136,-43.54557559146478
60,60,medical_clinic,172.6203479561299,-43.55709556285927
61,61,medical_clinic,172.6333858958392,-43.4452035497704
62,62,medical_clinic,172.6329438946431,-43.44470655044962
63,63,medical_clinic,172.5880899069508,-43.49018056787095
64,64,medical_clinic,172.5904849189148,-43.50908256868443
65,65,medical_clinic,172.5787619077115,-43.49651957117639
66,66,medical_clinic,172.6032359061266,-43.4804585622491
67,67,medical_clinic,172.6469379707861,-43.56681955582987
68,68,medical_clinic,172.6294219652225,-43.56699856124937
69,69,medical_clinic,172.6366779610742,-43.55626655815899
70,70,medical_clinic,172.634719931092,-43.50501855447141
71,71,medical_clinic,172.7399290361141,-43.62646953180599
72,72,medical_clinic,172.6283289450487,-43.53301755884807
73,73,medical_clinic,172.5928159318439,-43.53046756933657
74,74,medical_clinic,172.5551999091077,-43.51292057974813
75,75,medical_clinic,172.5551999091077,-43.51292057974813
76,76,medical_clinic,172.7011779591491,-43.51656953479667
77,77,medical_clinic,172.5871119223607,-43.51775557037217
78,78,medical_clinic,172.6604019597827,-43.54090254929329
79,79,medical_clinic,172.6974939811436,-43.55618953943769
80,80,medical_clinic,172.5698549113899,-43.50771957489182
81,81,medical_clinic,172.5867099114467,-43.49870856911622
82,82,medical_clinic,172.5682579499876,-43.57433758053075
83,83,medical_clinic,172.5952169097426,-43.49117856525697
84,84,medical_clinic,172.6429219525714,-43.5382575549845
85,85,medical_clinic,172.6364479493626,-43.53660755640566
86,86,medical_clinic,172.5214049123075,-43.53581859221183
87,87,medical_clinic,172.6579569705421,-43.55982355172658
88,88,medical_clinic,172.6052069350402,-43.52922356545885
89,89,medical_clinic,172.5942419461721,-43.55412657127286
90,90,medical_clinic,172.6042389568138,-43.56601556893649
91,91,medical_clinic,172.5287619188699,-43.54441759036531
92,92,medical_clinic,172.5806319170595,-43.51225957197861
93,93,medical_clinic,172.6333769287512,-43.50211655459849
94,94,medical_clinic,172.57175291671,-43.51569257497498
95,95,medical_clinic,172.5727439064952,-43.49784757310705
96,96,medical_clinic,172.6555339533988,-43.53295855028633
97,97,medical_clinic,172.6740279598642,-43.53321054491572
98,98,medical_clinic,172.5462929443272,-43.57815958753048
99,99,medical_clinic,172.7226250167453,-43.60346953535159
100,100,medical_clinic,172.613030915523,-43.49133856028675
101,101,medical_clinic,172.6408549285752,-43.49846755213031
102,102,medical_clinic,172.6214979297698,-43.5115195589978
103,103,medical_clinic,172.6592859213815,-43.47488754428717
104,104,medical_clinic,172.6368109408152,-43.52137955514509
105,105,medical_clinic,172.6202329290619,-43.510147559636
106,106,medical_clinic,172.6397399531629,-43.54073155597586
107,107,medical_clinic,172.7223119899968,-43.55795353157549
108,108,medical_clinic,172.7276169631491,-43.50905652621356
109,109,medical_clinic,172.6067429247703,-43.50980456338866
110,110,medical_clinic,172.6541109443906,-43.51776954941563
111,111,medical_clinic,172.617311907973,-43.47507055768508
112,112,medical_clinic,172.6304619491256,-43.5384155584808
113,113,medical_clinic,172.6111929203695,-43.50030656156307
114,114,medical_clinic,172.6378859380675,-43.51534355453147
115,115,medical_clinic,172.7111989496411,-43.49499353009635
116,116,medical_clinic,172.6959789342884,-43.47786153344039
117,117,medical_clinic,172.7385819974147,-43.56187952683042
118,118,medical_clinic,172.6170389095847,-43.47920955789879
119,119,medical_clinic,172.5717639259322,-43.5317235759805
120,120,medical_clinic,172.5990099350489,-43.53291956772723
121,121,medical_clinic,172.6220989521911,-43.54828056167528
122,122,medical_clinic,172.6625929407281,-43.50711054600237
123,123,medical_clinic,172.6304629321185,-43.50956855614065
124,124,medical_clinic,172.6545569687702,-43.55915655247685
125,125,medical_clinic,172.6022669337457,-43.52859256641239
126,126,medical_clinic,172.7583700080705,-43.56891552145235
127,127,medical_clinic,172.7013059557436,-43.51058453426986
128,128,medical_clinic,172.4731009066952,-43.55337560824023
129,129,medical_clinic,172.6374769474969,-43.53216455616095
130,130,medical_clinic,172.7096289491105,-43.49494453025711
131,131,medical_clinic,172.6713989587809,-43.53217654528596
132,132,medical_clinic,172.5795009238456,-43.52384857306325
133,133,medical_clinic,172.5778409272651,-43.53133157444461
134,134,medical_clinic,172.5966139458948,-43.55282957007169
135,135,medical_clinic,172.57175291671,-43.51569257497498
